Date,finbert_sentiment,weighted_finbert_sentiment,message_count,finbert_sentiment_roll_mean_3d,finbert_sentiment_roll_std_3d,weighted_finbert_sentiment_roll_mean_3d,weighted_finbert_sentiment_roll_std_3d
2020-10-02,-0.5881897270679474,-0.5881897270679475,10,-0.5881897270679474,0.0,-0.5881897270679475,0.0
2020-10-05,-0.4436753034591675,-0.3569666492938995,20,-0.5159325152635574,0.10218712891303354,-0.47257818818092345,0.1634994062608538
2020-10-06,-0.34172276258468626,-0.35138531361165454,20,-0.4578625977039337,0.12384446145827013,-0.43218056332450044,0.13513671672031516
2020-10-07,-0.28064785997072855,-0.2562174469234493,30,-0.35534864200486077,0.08236343408985503,-0.32152313660966775,0.056625194534270416
2020-10-08,-0.3278936393558979,-0.34995098495762905,40,-0.31675475397043756,0.03202486546496214,-0.3191845818309109,0.054535854110051254
2020-10-09,-0.3849477045238018,-0.43139169881293243,40,-0.3311630679501427,0.05222672942036924,-0.3458533768980036,0.08765898371027211
2020-10-12,-0.3205518513917923,-0.19645667791366575,20,-0.3444643984238307,0.03525122717318421,-0.32593312056140905,0.1192948421720366
2020-10-13,-0.13086873590946196,-0.13476041355492283,20,-0.278789430608352,0.1320874915171816,-0.2542029300938403,0.1565199734190397
2020-10-14,-0.18132744630177816,-0.20752717323919737,30,-0.2109160112010108,0.09824221828912383,-0.17958142156926196,0.03920881324720541
2020-10-15,-0.2127265527844429,-0.2511832818274713,40,-0.17497424499856104,0.04129706915731299,-0.19782362287386382,0.05881488103763539
2020-10-16,-0.25134171545505524,-0.2681596630556012,40,-0.2151319048470921,0.035069057018629085,-0.24229003937408997,0.03127925872419347
2020-10-19,-0.13771573603153228,-0.05943284988403321,20,-0.20059466809034346,0.0577763166847967,-0.19292526492236858,0.11591901498234045
2020-10-20,-0.11940637230873108,-0.1448698168831573,20,-0.16948794126510622,0.07147613910836148,-0.1574874432742639,0.10493390303423772
2020-10-21,-0.10634380380312601,-0.11297184669474741,30,-0.12115530404779645,0.015758921429046894,-0.1057581711539793,0.04317286958968495
2020-10-22,-0.24787349849939347,-0.3587062480148445,40,-0.15787455820375018,0.07821454222038886,-0.20551597053091641,0.13362191422905648
2020-10-23,-0.26596355587244036,-0.2604328359979645,40,-0.20672695272498662,0.08740363255918701,-0.2440369769025188,0.12368495116482402
