Approach,Testing loss,MAE,MAPE,Accuracy
Fin-BERT Embedding LSTM,70563.6635569142,217.00808026713722,0.017704390345989206,0.9822956096540107
LSTM,62311.37480269713,204.35063319052426,0.016702473168055006,0.983297526831945
MLP,80534.32431191784,242.02584740423387,0.01951428245375443,0.9804857175462456
